 satisfaccion , evaluacion ,numero_proyecto, horas_mensuales , antiguedad_empresa ,accidentes,promocionado,departamento,nivel_salario,abandono
 0.54 , 0.81 ,4, 264.00 , 4.00 ,0,0,tecnico,intermedio,No
 0.78 , 0.67 ,4, 260.00 , 3.00 ,0,0,tecnico,intermedio,No
 0.49 , 0.79 ,4, 158.00 , 3.00 ,0,0,soporte,alto,No
 0.17 , 0.83 ,6, 195.00 , 5.00 ,0,0,soporte,alto,No
 0.98 , 0.81 ,3, 180.00 , 2.00 ,1,0,soporte,alto,No
 0.90 , 1.00 ,2, 114.00 , 5.00 ,0,0,soporte,alto,No
 0.24 , 0.89 ,5, 228.00 , 4.00 ,1,0,soporte,alto,No
 0.92 , 0.79 ,5, 243.00 , 3.00 ,1,0,soporte,alto,No
 0.36 , 0.72 ,3, 179.00 , 3.00 ,0,0,soporte,alto,No
 0.19 , 0.76 ,2, 158.00 , 3.00 ,0,0,soporte,alto,No
 0.75 , 0.76 ,4, 254.00 , 4.00 ,0,0,soporte,bajo,No
 0.91 , 0.81 ,3, 220.00 , 3.00 ,1,0,soporte,bajo,No
 0.72 , 0.95 ,5, 171.00 , 3.00 ,0,0,soporte,bajo,No
 0.62 , 0.64 ,4, 142.00 , 2.00 ,0,0,tecnico,bajo,No
 0.97 , 0.75 ,3, 241.00 , 2.00 ,0,0,tecnico,bajo,No
 0.69 , 0.64 ,3, 275.00 , 3.00 ,0,0,tecnico,bajo,No
 0.98 , 0.56 ,3, 157.00 , 2.00 ,0,0,gerencia,bajo,No
 0.62 , 0.53 ,5, 169.00 , 3.00 ,0,0,IT,bajo,No
 0.59 , 0.82 ,2, 233.00 , 2.00 ,0,0,IT,intermedio,No
 0.73 , 0.98 ,4, 160.00 , 3.00 ,0,0,IT,intermedio,No
 0.71 , 0.79 ,3, 189.00 , 3.00 ,0,0,IT,intermedio,No
 0.85 , 0.58 ,4, 273.00 , 4.00 ,0,0,IT,intermedio,No
 0.80 , 0.94 ,4, 141.00 , 3.00 ,1,0,producto,intermedio,No
 0.48 , 0.38 ,3, 134.00 , 3.00 ,0,0,producto,intermedio,No
 0.64 , 0.40 ,3, 248.00 , 3.00 ,0,0,producto,intermedio,No
 0.19 , 0.64 ,6, 222.00 , 5.00 ,0,0,producto,intermedio,No
 0.82 , 0.69 ,5, 219.00 , 3.00 ,0,0,IT,intermedio,No
 0.99 , 0.96 ,4, 202.00 , 3.00 ,0,0,laboratorio,intermedio,No
 0.45 , 0.58 ,3, 200.00 , 2.00 ,0,0,laboratorio,intermedio,No
 0.89 , 0.89 ,3, 138.00 , 2.00 ,0,0,laboratorio,intermedio,No
 0.75 , 0.78 ,4, 158.00 , 5.00 ,1,0,laboratorio,intermedio,No
 0.80 , 0.86 ,3, 136.00 , 2.00 ,0,0,laboratorio,intermedio,No
 0.78 , 0.49 ,4, 222.00 , 2.00 ,0,0,marketing,intermedio,No
 0.95 , 0.76 ,3, 236.00 , 2.00 ,1,0,ventas,intermedio,No
 0.68 , 0.67 ,4, 135.00 , 2.00 ,0,0,contabilidad,intermedio,No
 0.82 , 0.97 ,5, 235.00 , 3.00 ,0,0,soporte,intermedio,No
 0.90 , 0.69 ,4, 274.00 , 2.00 ,0,0,tecnico,intermedio,No
 0.59 , 0.99 ,3, 235.00 , 2.00 ,0,0,gerencia,intermedio,No
 0.66 , 0.57 ,3, 169.00 , 4.00 ,1,0,marketing,intermedio,No
 0.63 , 0.56 ,5, 286.00 , 4.00 ,0,0,marketing,intermedio,No
 0.73 , 0.78 ,3, 166.00 , 2.00 ,0,0,marketing,intermedio,No
 0.63 , 0.93 ,3, 236.00 , 4.00 ,0,0,ventas,alto,No
 0.87 , 0.62 ,5, 197.00 , 2.00 ,0,0,ventas,bajo,No
 0.62 , 0.87 ,6, 169.00 , 2.00 ,1,0,ventas,intermedio,No
 0.53 , 0.90 ,3, 210.00 , 3.00 ,0,0,ventas,intermedio,No
 0.94 , 0.83 ,4, 156.00 , 2.00 ,0,0,ventas,intermedio,No
 0.94 , 0.55 ,5, 231.00 , 2.00 ,0,0,ventas,intermedio,No
 0.55 , 0.64 ,3, 101.00 , 2.00 ,1,0,ventas,intermedio,No
 0.58 , 0.72 ,4, 259.00 , 3.00 ,0,0,ventas,intermedio,No
 0.98 , 0.88 ,5, 203.00 , 5.00 ,1,0,ventas,intermedio,No
 0.74 , 0.76 ,5, 255.00 , 4.00 ,0,0,ventas,intermedio,No
 0.65 , 0.48 ,3, 131.00 , 3.00 ,1,0,ventas,intermedio,No
 0.97 , 0.79 ,2, 272.00 , 2.00 ,0,0,ventas,intermedio,No
 0.58 , 0.75 ,4, 253.00 , 2.00 ,0,0,ventas,bajo,No
 0.49 , 0.77 ,2, 254.00 , 2.00 ,0,0,ventas,bajo,No
 0.69 , 0.98 ,3, 214.00 , 2.00 ,0,0,ventas,bajo,No
 0.55 , 0.49 ,5, 195.00 , 3.00 ,0,0,ventas,bajo,No
 0.65 , 0.89 ,4, 240.00 , 3.00 ,0,0,ventas,bajo,No
 0.87 , 0.49 ,4, 149.00 , 2.00 ,0,0,ventas,bajo,No
 0.12 , 0.70 ,4, 276.00 , 4.00 ,0,0,ventas,bajo,No
 0.65 , 0.84 ,4, 247.00 , 4.00 ,0,0,contabilidad,alto,No
 0.23 , 0.66 ,4, 212.00 , 4.00 ,1,0,contabilidad,bajo,No
 0.62 , 0.77 ,4, 256.00 , 3.00 ,0,0,contabilidad,alto,No
 0.86 , 0.72 ,4, 178.00 , 2.00 ,0,0,recursos_humanos,alto,No
 0.85 , 0.60 ,4, 255.00 , 4.00 ,0,0,recursos_humanos,bajo,No
 0.74 , 0.76 ,3, 224.00 , 2.00 ,0,0,recursos_humanos,bajo,No
 0.53 , 0.76 ,2, 204.00 , 4.00 ,0,0,recursos_humanos,alto,No
 0.99 , 0.44 ,6, 104.00 , 6.00 ,0,0,tecnico,bajo,No
 0.48 , 0.81 ,5, 113.00 , 3.00 ,0,0,tecnico,intermedio,No
 0.72 , 0.74 ,3, 243.00 , 2.00 ,0,0,tecnico,alto,No
 0.76 , 0.72 ,3, 242.00 , 5.00 ,1,0,tecnico,intermedio,No
 0.41 , 0.70 ,4, 177.00 , 3.00 ,0,0,tecnico,intermedio,No
 0.85 , 0.88 ,3, 235.00 , 2.00 ,0,0,tecnico,intermedio,No
 0.62 , 0.49 ,4, 175.00 , 3.00 ,0,0,tecnico,intermedio,No
 0.16 , 0.78 ,4, 280.00 , 6.00 ,0,0,tecnico,alto,No
 0.58 , 0.61 ,3, 205.00 , 2.00 ,0,0,tecnico,intermedio,No
 0.73 , 0.95 ,4, 243.00 , 3.00 ,0,0,tecnico,intermedio,No
 0.28 , 0.76 ,3, 150.00 , 2.00 ,0,0,tecnico,intermedio,No
 0.77 , 0.61 ,4, 178.00 , 2.00 ,1,0,soporte,alto,No
 0.85 , 0.86 ,3, 231.00 , 3.00 ,0,0,soporte,intermedio,No
 0.56 , 0.76 ,3, 134.00 , 2.00 ,0,0,soporte,alto,No
 0.81 , 1.00 ,5, 143.00 , 2.00 ,0,0,soporte,bajo,No
 0.83 , 0.87 ,3, 156.00 , 3.00 ,0,0,soporte,intermedio,No
 0.49 , 0.48 ,4, 249.00 , 3.00 ,0,0,soporte,intermedio,No
 0.81 , 0.97 ,3, 247.00 , 3.00 ,0,0,soporte,intermedio,No
 0.56 , 0.92 ,5, 222.00 , 4.00 ,0,0,soporte,intermedio,No
 0.77 , 0.83 ,3, 160.00 , 3.00 ,0,0,soporte,bajo,No
 0.73 , 0.50 ,4, 224.00 , 4.00 ,1,0,soporte,bajo,No
 0.95 , 0.72 ,4, 235.00 , 2.00 ,0,0,soporte,bajo,No
 0.69 , 0.68 ,5, 167.00 , 3.00 ,0,0,tecnico,bajo,No
 0.79 , 0.89 ,3, 104.00 , 4.00 ,0,0,tecnico,bajo,No
 0.63 , 0.57 ,5, 160.00 , 2.00 ,0,0,tecnico,bajo,No
 0.80 , 0.79 ,4, 168.00 , 3.00 ,0,0,gerencia,bajo,No
 0.64 , 0.61 ,2, 153.00 , 2.00 ,0,0,IT,bajo,No
 0.92 , 0.90 ,4, 249.00 , 3.00 ,0,0,IT,bajo,No
 0.96 , 0.75 ,4, 177.00 , 2.00 ,0,0,IT,bajo,No
 0.56 , 0.85 ,3, 225.00 , 3.00 ,0,0,IT,alto,No
 0.37 , 0.61 ,3, 186.00 , 2.00 ,0,0,IT,bajo,No
 0.50 , 0.82 ,3, 133.00 , 2.00 ,1,0,producto,bajo,No
 0.49 , 0.58 ,4, 213.00 , 4.00 ,1,0,producto,bajo,No
 1.00 , 0.73 ,3, 245.00 , 2.00 ,1,0,producto,bajo,No
 0.82 , 0.75 ,5, 160.00 , 3.00 ,1,0,producto,alto,No
 0.52 , 0.54 ,4, 212.00 , 3.00 ,0,0,IT,bajo,No
 0.76 , 0.96 ,4, 135.00 , 3.00 ,1,1,laboratorio,bajo,No
 0.20 , 0.53 ,3, 149.00 , 4.00 ,0,1,laboratorio,bajo,No
 0.60 , 0.90 ,4, 178.00 , 3.00 ,0,1,laboratorio,alto,No
 0.69 , 0.90 ,6, 224.00 , 4.00 ,0,1,laboratorio,bajo,No
 0.93 , 0.51 ,3, 196.00 , 2.00 ,0,1,laboratorio,intermedio,No
 0.70 , 0.64 ,4, 178.00 , 3.00 ,1,1,marketing,alto,No
 0.56 , 0.54 ,4, 191.00 , 2.00 ,1,1,ventas,intermedio,No
 0.97 , 0.61 ,4, 167.00 , 3.00 ,0,1,contabilidad,alto,No
 0.24 , 0.65 ,6, 275.00 , 5.00 ,1,1,soporte,intermedio,No
 0.83 , 0.91 ,3, 168.00 , 3.00 ,0,1,tecnico,intermedio,No
 0.55 , 0.85 ,3, 152.00 , 2.00 ,0,1,gerencia,intermedio,No
 0.68 , 0.99 ,3, 263.00 , 3.00 ,1,1,marketing,intermedio,No
 0.48 , 0.53 ,3, 113.00 , 4.00 ,0,0,marketing,intermedio,No
 0.75 , 0.95 ,3, 253.00 , 3.00 ,0,0,marketing,intermedio,No
 0.61 , 0.50 ,4, 271.00 , 3.00 ,1,0,ventas,intermedio,No
 0.50 , 0.74 ,4, 165.00 , 2.00 ,1,0,ventas,intermedio,No
 0.78 , 0.54 ,5, 257.00 , 3.00 ,0,0,ventas,alto,No
 0.61 , 0.68 ,4, 244.00 , 3.00 ,0,0,ventas,bajo,No
 0.48 , 0.50 ,4, 179.00 , 3.00 ,0,0,ventas,intermedio,No
 0.93 , 0.92 ,3, 248.00 , 2.00 ,0,0,ventas,intermedio,No
 0.78 , 0.58 ,3, 224.00 , 2.00 ,0,0,ventas,intermedio,No
 0.92 , 0.99 ,5, 236.00 , 4.00 ,0,0,ventas,intermedio,No
 0.71 , 0.98 ,5, 213.00 , 3.00 ,0,0,ventas,intermedio,No
 0.15 , 0.42 ,4, 238.00 , 3.00 ,0,0,ventas,intermedio,No
 0.14 , 0.83 ,5, 153.00 , 5.00 ,1,0,ventas,intermedio,No
 0.56 , 0.72 ,4, 247.00 , 2.00 ,0,0,ventas,intermedio,No
 1.00 , 0.84 ,3, 154.00 , 3.00 ,0,0,ventas,intermedio,No
 0.77 , 0.82 ,3, 147.00 , 4.00 ,0,0,ventas,alto,No
 0.86 , 0.66 ,3, 150.00 , 2.00 ,0,0,ventas,bajo,No
 0.88 , 0.95 ,3, 137.00 , 3.00 ,0,0,ventas,bajo,No
 0.85 , 0.84 ,5, 179.00 , 3.00 ,0,0,ventas,bajo,No
 0.95 , 0.56 ,5, 194.00 , 2.00 ,0,0,ventas,alto,No
 0.65 , 0.65 ,4, 224.00 , 3.00 ,0,0,ventas,bajo,No
 0.70 , 0.55 ,3, 253.00 , 2.00 ,1,0,contabilidad,bajo,No
 0.60 , 0.55 ,3, 177.00 , 3.00 ,1,0,contabilidad,bajo,No
 0.84 , 0.83 ,3, 215.00 , 3.00 ,0,0,contabilidad,alto,No
 0.23 , 0.59 ,5, 245.00 , 5.00 ,0,0,recursos_humanos,bajo,No
 0.89 , 0.75 ,3, 134.00 , 3.00 ,0,0,recursos_humanos,bajo,No
 0.98 , 0.91 ,4, 273.00 , 2.00 ,0,0,recursos_humanos,bajo,No
 0.88 , 0.83 ,4, 163.00 , 3.00 ,0,0,recursos_humanos,bajo,No
 0.87 , 0.52 ,3, 152.00 , 4.00 ,0,0,tecnico,bajo,No
 0.93 , 0.96 ,3, 268.00 , 4.00 ,0,0,tecnico,bajo,No
 0.13 , 0.95 ,5, 149.00 , 2.00 ,0,0,tecnico,bajo,No
 0.99 , 0.56 ,6, 128.00 , 4.00 ,0,0,tecnico,intermedio,No
 0.52 , 0.51 ,3, 218.00 , 2.00 ,1,0,tecnico,intermedio,No
 0.58 , 0.98 ,3, 146.00 , 3.00 ,0,0,tecnico,intermedio,No
 0.85 , 0.57 ,5, 190.00 , 2.00 ,1,0,tecnico,intermedio,No
 0.41 , 0.59 ,2, 182.00 , 3.00 ,0,0,tecnico,intermedio,No
 1.00 , 0.80 ,5, 162.00 , 3.00 ,1,0,tecnico,intermedio,No
 0.63 , 0.64 ,3, 243.00 , 3.00 ,0,0,tecnico,intermedio,No
 0.63 , 0.58 ,4, 141.00 , 3.00 ,1,0,tecnico,intermedio,No
 0.63 , 0.90 ,3, 142.00 , 3.00 ,0,0,soporte,intermedio,No
 0.59 , 0.62 ,3, 203.00 , 4.00 ,0,0,soporte,intermedio,No
 0.88 , 0.77 ,4, 168.00 , 4.00 ,0,0,soporte,intermedio,No
 0.72 , 0.70 ,3, 149.00 , 3.00 ,0,0,soporte,intermedio,No
 0.67 , 0.81 ,4, 168.00 , 2.00 ,0,0,soporte,alto,No
 0.41 , 0.54 ,2, 190.00 , 4.00 ,0,0,soporte,bajo,No
 0.30 , 0.68 ,3, 229.00 , 6.00 ,0,0,soporte,intermedio,No
 0.83 , 0.84 ,3, 249.00 , 2.00 ,0,0,soporte,intermedio,No
 0.73 , 0.93 ,4, 162.00 , 2.00 ,1,0,soporte,intermedio,No
 0.87 , 0.90 ,4, 163.00 , 2.00 ,0,0,soporte,intermedio,No
 0.93 , 0.74 ,2, 169.00 , 4.00 ,0,0,soporte,bajo,No
 0.97 , 0.91 ,4, 257.00 , 3.00 ,1,0,tecnico,bajo,No
 0.70 , 0.54 ,4, 150.00 , 4.00 ,0,0,tecnico,bajo,No
 0.66 , 0.95 ,4, 183.00 , 3.00 ,0,0,tecnico,bajo,No
 0.62 , 0.66 ,3, 208.00 , 3.00 ,0,0,gerencia,bajo,No
 0.56 , 0.52 ,4, 158.00 , 2.00 ,0,0,IT,bajo,No
 0.32 , 0.72 ,2, 240.00 , 5.00 ,0,0,IT,bajo,No
 0.55 , 0.81 ,5, 251.00 , 3.00 ,0,0,IT,bajo,No
 0.69 , 0.91 ,5, 205.00 , 2.00 ,0,0,IT,bajo,No
 0.91 , 0.63 ,4, 226.00 , 3.00 ,1,0,IT,bajo,No
 0.33 , 0.82 ,5, 249.00 , 6.00 ,0,0,producto,bajo,No
 0.37 , 0.74 ,2, 197.00 , 3.00 ,0,0,producto,bajo,No
 0.95 , 0.57 ,5, 216.00 , 3.00 ,0,0,producto,bajo,No
 0.17 , 0.91 ,4, 260.00 , 5.00 ,0,0,producto,bajo,No
 0.95 , 0.53 ,4, 263.00 , 3.00 ,0,0,IT,bajo,No
 0.27 , 0.69 ,2, 177.00 , 5.00 ,0,0,laboratorio,bajo,No
 0.91 , 0.95 ,4, 171.00 , 3.00 ,0,0,laboratorio,bajo,No
 0.49 , 0.61 ,3, 148.00 , 2.00 ,1,0,laboratorio,bajo,No
 0.60 , 0.56 ,4, 138.00 , 3.00 ,0,0,laboratorio,bajo,No
 0.52 , 0.57 ,4, 183.00 , 3.00 ,0,0,laboratorio,bajo,No
 0.54 , 0.65 ,3, 202.00 , 3.00 ,0,0,marketing,bajo,No
 0.86 , 0.53 ,4, 160.00 , 2.00 ,1,0,ventas,intermedio,No
 0.78 , 0.87 ,4, 264.00 , 3.00 ,0,0,contabilidad,intermedio,No
 0.60 , 0.81 ,4, 245.00 , 3.00 ,1,0,soporte,intermedio,No
 0.15 , 0.91 ,2, 207.00 , 3.00 ,0,0,tecnico,intermedio,No
 0.72 , 0.92 ,3, 225.00 , 3.00 ,0,0,gerencia,intermedio,No
 0.94 , 0.85 ,4, 236.00 , 2.00 ,0,0,marketing,intermedio,No
 0.92 , 0.56 ,4, 170.00 , 3.00 ,0,0,marketing,intermedio,No
 0.60 , 0.88 ,3, 261.00 , 3.00 ,1,0,marketing,intermedio,No
 0.41 , 0.68 ,4, 273.00 , 3.00 ,0,0,ventas,intermedio,No
 0.50 , 0.43 ,3, 184.00 , 2.00 ,0,0,ventas,intermedio,No
 0.80 , 0.91 ,3, 202.00 , 2.00 ,0,0,ventas,intermedio,No
 0.67 , 0.83 ,4, 195.00 , 3.00 ,0,0,ventas,intermedio,No
 0.71 , 0.88 ,4, 266.00 , 3.00 ,0,0,ventas,alto,No
 0.66 , 0.85 ,3, 266.00 , 5.00 ,0,0,ventas,bajo,No
 0.77 , 0.74 ,5, 263.00 , 2.00 ,0,0,ventas,intermedio,No
 0.62 , 0.54 ,3, 142.00 , 2.00 ,0,0,ventas,intermedio,No
 0.95 , 0.53 ,4, 162.00 , 3.00 ,0,0,ventas,intermedio,No
 0.89 , 0.75 ,5, 258.00 , 2.00 ,0,0,ventas,intermedio,No
 0.74 , 0.83 ,4, 170.00 , 2.00 ,0,0,ventas,bajo,No
 0.19 , 0.80 ,4, 249.00 , 5.00 ,0,0,ventas,bajo,No
 0.83 , 0.77 ,3, 171.00 , 3.00 ,0,0,ventas,bajo,No
 0.53 , 0.64 ,2, 177.00 , 4.00 ,0,0,ventas,bajo,No
 0.98 , 0.75 ,5, 188.00 , 2.00 ,0,0,ventas,bajo,No
 0.74 , 0.99 ,5, 146.00 , 2.00 ,0,0,ventas,bajo,No
 0.22 , 0.88 ,5, 154.00 , 5.00 ,0,0,ventas,bajo,No
 0.76 , 0.68 ,4, 204.00 , 3.00 ,1,0,ventas,bajo,No
 0.89 , 0.91 ,5, 224.00 , 3.00 ,1,0,ventas,bajo,No
 0.50 , 0.84 ,3, 156.00 , 4.00 ,0,0,contabilidad,bajo,No
 0.17 , 0.82 ,6, 259.00 , 4.00 ,0,0,contabilidad,bajo,No
 0.46 , 0.38 ,6, 165.00 , 3.00 ,0,0,contabilidad,bajo,No
 0.68 , 0.78 ,3, 264.00 , 3.00 ,0,0,recursos_humanos,bajo,No
 0.77 , 0.86 ,4, 215.00 , 2.00 ,0,0,recursos_humanos,bajo,No
 0.68 , 0.83 ,3, 133.00 , 3.00 ,0,0,recursos_humanos,bajo,No
 0.15 , 0.70 ,4, 220.00 , 4.00 ,0,0,recursos_humanos,bajo,No
 0.70 , 0.98 ,4, 176.00 , 5.00 ,0,0,tecnico,bajo,No
 0.66 , 0.96 ,4, 103.00 , 2.00 ,0,0,tecnico,bajo,No
 0.54 , 0.52 ,5, 155.00 , 3.00 ,0,0,tecnico,bajo,No
 0.57 , 0.57 ,4, 141.00 , 3.00 ,0,0,tecnico,bajo,No
 0.78 , 0.58 ,3, 150.00 , 3.00 ,1,0,tecnico,bajo,No
 0.14 , 0.83 ,5, 171.00 , 6.00 ,0,0,tecnico,intermedio,No
 0.73 , 0.86 ,4, 179.00 , 3.00 ,0,0,tecnico,intermedio,No
 0.65 , 0.97 ,4, 145.00 , 2.00 ,0,0,tecnico,intermedio,No
 0.31 , 0.59 ,3, 176.00 , 3.00 ,0,0,tecnico,intermedio,No
 0.77 , 0.55 ,2, 172.00 , 2.00 ,0,0,tecnico,intermedio,No
 0.68 , 0.85 ,3, 243.00 , 4.00 ,0,0,tecnico,intermedio,No
 0.79 , 0.69 ,4, 209.00 , 2.00 ,0,0,soporte,intermedio,No
 0.92 , 0.62 ,4, 196.00 , 3.00 ,0,0,soporte,intermedio,No
 0.77 , 0.96 ,6, 225.00 , 4.00 ,0,0,soporte,intermedio,No
 0.48 , 0.89 ,3, 261.00 , 2.00 ,0,0,soporte,intermedio,No
 0.63 , 0.66 ,4, 157.00 , 2.00 ,0,0,soporte,intermedio,No
 0.92 , 0.49 ,5, 259.00 , 3.00 ,1,0,soporte,intermedio,No
 0.50 , 0.85 ,4, 224.00 , 6.00 ,0,0,soporte,alto,No
 0.52 , 0.91 ,5, 193.00 , 2.00 ,0,0,soporte,bajo,No
 0.73 , 0.79 ,4, 157.00 , 3.00 ,0,0,soporte,intermedio,No
 0.99 , 0.87 ,4, 223.00 , 3.00 ,0,0,soporte,intermedio,No
 0.91 , 0.99 ,3, 188.00 , 3.00 ,1,0,soporte,intermedio,No
 0.85 , 0.79 ,3, 217.00 , 2.00 ,0,0,tecnico,intermedio,No
 0.95 , 0.69 ,4, 207.00 , 2.00 ,1,0,tecnico,bajo,No
 0.67 , 0.85 ,3, 153.00 , 4.00 ,0,0,tecnico,bajo,No
 0.86 , 0.55 ,3, 269.00 , 2.00 ,0,0,gerencia,bajo,No
 0.71 , 0.54 ,4, 198.00 , 3.00 ,0,0,IT,bajo,No
 0.99 , 0.95 ,4, 102.00 , 5.00 ,0,0,IT,bajo,No
 0.57 , 0.61 ,3, 167.00 , 2.00 ,1,0,IT,bajo,No
 0.98 , 0.72 ,3, 252.00 , 2.00 ,0,0,IT,bajo,No
 0.62 , 0.58 ,3, 192.00 , 2.00 ,0,0,IT,bajo,No
 0.74 , 0.79 ,5, 237.00 , 4.00 ,0,0,producto,bajo,No
 0.70 , 0.60 ,4, 158.00 , 3.00 ,0,0,producto,bajo,No
 0.80 , 0.93 ,3, 260.00 , 3.00 ,0,0,producto,bajo,No
 0.65 , 0.69 ,4, 153.00 , 3.00 ,0,0,producto,bajo,No
 0.53 , 0.52 ,3, 233.00 , 4.00 ,0,0,IT,bajo,No
 0.43 , 0.62 ,2, 180.00 , 3.00 ,0,0,laboratorio,bajo,No
 0.59 , 0.65 ,4, 163.00 , 3.00 ,1,0,laboratorio,bajo,No
 0.16 , 0.96 ,6, 211.00 , 6.00 ,1,0,laboratorio,bajo,No
 0.84 , 0.80 ,3, 151.00 , 3.00 ,1,0,laboratorio,bajo,No
 0.78 , 0.95 ,3, 249.00 , 4.00 ,0,0,laboratorio,bajo,No
 0.66 , 0.91 ,5, 199.00 , 3.00 ,1,0,marketing,bajo,No
 0.70 , 0.74 ,4, 247.00 , 2.00 ,0,0,ventas,bajo,No
 0.73 , 0.63 ,4, 174.00 , 3.00 ,0,0,contabilidad,bajo,No
 0.65 , 0.88 ,4, 268.00 , 4.00 ,0,0,soporte,intermedio,No
 0.79 , 0.59 ,5, 197.00 , 4.00 ,0,0,tecnico,intermedio,No
 0.57 , 0.68 ,4, 154.00 , 3.00 ,1,0,gerencia,intermedio,No
 0.24 , 0.58 ,5, 279.00 , 4.00 ,0,0,marketing,intermedio,No
 0.95 , 0.78 ,3, 204.00 , 2.00 ,1,0,marketing,intermedio,No
 0.38 , 0.54 ,2, 112.00 , 3.00 ,0,0,marketing,intermedio,No
 0.90 , 0.78 ,4, 261.00 , 2.00 ,1,0,ventas,intermedio,No
 0.50 , 0.40 ,3, 180.00 , 4.00 ,0,0,ventas,intermedio,No
 0.68 , 0.61 ,3, 261.00 , 5.00 ,0,0,ventas,intermedio,No
 0.50 , 0.78 ,6, 138.00 , 3.00 ,0,0,ventas,intermedio,No
 0.85 , 0.81 ,4, 164.00 , 4.00 ,0,0,ventas,intermedio,No
 0.95 , 0.52 ,3, 144.00 , 3.00 ,0,0,ventas,intermedio,No
 0.92 , 0.92 ,3, 244.00 , 2.00 ,0,0,ventas,alto,No
 0.83 , 0.87 ,5, 233.00 , 3.00 ,0,0,ventas,bajo,No
 0.90 , 0.78 ,4, 225.00 , 2.00 ,1,0,ventas,intermedio,No
 0.21 , 0.77 ,6, 215.00 , 4.00 ,0,0,ventas,intermedio,No
 0.94 , 0.86 ,3, 223.00 , 4.00 ,0,0,ventas,intermedio,No
 0.70 , 0.85 ,4, 232.00 , 3.00 ,0,0,ventas,intermedio,No
 0.54 , 0.76 ,3, 157.00 , 4.00 ,0,0,ventas,bajo,No
 0.77 , 0.65 ,4, 268.00 , 3.00 ,0,0,ventas,bajo,No
 0.62 , 0.49 ,3, 158.00 , 2.00 ,0,0,ventas,bajo,No
 0.93 , 0.55 ,5, 222.00 , 2.00 ,0,0,ventas,bajo,No
 0.81 , 0.86 ,3, 210.00 , 3.00 ,0,0,ventas,bajo,No
 0.99 , 0.79 ,4, 133.00 , 2.00 ,0,0,ventas,bajo,No
 0.78 , 0.49 ,3, 224.00 , 3.00 ,0,0,ventas,bajo,No
 0.66 , 0.63 ,5, 264.00 , 5.00 ,0,0,contabilidad,bajo,No
 0.90 , 0.72 ,5, 237.00 , 2.00 ,0,0,contabilidad,bajo,No
 0.74 , 0.53 ,5, 141.00 , 2.00 ,0,0,contabilidad,bajo,No
 0.65 , 0.78 ,4, 238.00 , 5.00 ,1,0,recursos_humanos,bajo,No
 0.99 , 0.52 ,4, 167.00 , 3.00 ,0,0,recursos_humanos,bajo,No
 0.83 , 0.72 ,4, 161.00 , 3.00 ,0,0,recursos_humanos,bajo,No
 0.60 , 0.82 ,4, 194.00 , 3.00 ,0,0,recursos_humanos,bajo,No
 0.55 , 0.93 ,3, 217.00 , 3.00 ,1,0,tecnico,bajo,No
 0.96 , 0.71 ,3, 170.00 , 3.00 ,0,0,tecnico,bajo,No
 0.83 , 0.94 ,4, 243.00 , 3.00 ,0,0,tecnico,bajo,No
 0.95 , 0.70 ,4, 267.00 , 3.00 ,1,0,tecnico,bajo,No
 0.77 , 0.88 ,2, 169.00 , 3.00 ,0,0,tecnico,intermedio,No
 0.83 , 0.95 ,3, 255.00 , 3.00 ,0,0,tecnico,intermedio,No
 0.87 , 0.54 ,4, 211.00 , 3.00 ,0,0,tecnico,intermedio,No
 0.69 , 0.49 ,3, 198.00 , 4.00 ,0,0,tecnico,intermedio,No
 0.67 , 0.58 ,3, 246.00 , 3.00 ,0,0,tecnico,intermedio,No
 0.55 , 0.49 ,3, 146.00 , 2.00 ,0,0,tecnico,intermedio,No
 0.55 , 0.82 ,4, 134.00 , 6.00 ,0,0,tecnico,intermedio,No
 0.39 , 0.48 ,3, 169.00 , 3.00 ,0,0,soporte,intermedio,No
 0.51 , 0.93 ,5, 232.00 , 3.00 ,0,0,soporte,intermedio,No
 0.39 , 0.38 ,2, 106.00 , 3.00 ,1,0,soporte,intermedio,No
 0.96 , 0.93 ,4, 260.00 , 3.00 ,0,0,soporte,intermedio,No
 0.68 , 0.81 ,3, 232.00 , 2.00 ,0,0,soporte,intermedio,No
 0.67 , 0.71 ,4, 173.00 , 3.00 ,0,0,soporte,alto,No
 0.68 , 0.44 ,5, 152.00 , 5.00 ,0,0,soporte,bajo,No
 0.56 , 0.58 ,3, 173.00 , 3.00 ,0,0,soporte,intermedio,No
 0.90 , 0.70 ,3, 274.00 , 3.00 ,0,0,soporte,intermedio,No
 0.69 , 0.59 ,3, 233.00 , 3.00 ,0,0,soporte,intermedio,No
 0.99 , 0.71 ,4, 232.00 , 3.00 ,0,0,soporte,intermedio,No
 0.42 , 0.59 ,3, 156.00 , 2.00 ,0,0,tecnico,bajo,No
 0.28 , 0.51 ,3, 124.00 , 3.00 ,0,0,tecnico,bajo,No
 0.55 , 0.65 ,3, 207.00 , 3.00 ,0,0,tecnico,bajo,No
 0.91 , 0.53 ,3, 273.00 , 6.00 ,0,0,gerencia,bajo,No
 0.53 , 0.98 ,3, 219.00 , 4.00 ,0,0,IT,bajo,No
 0.87 , 0.74 ,4, 207.00 , 3.00 ,0,0,IT,bajo,No
 0.57 , 0.60 ,4, 248.00 , 4.00 ,0,0,IT,bajo,No
 0.59 , 0.77 ,3, 169.00 , 3.00 ,0,0,IT,bajo,No
