,fund_name,fund_category,category_return_2009,fund_return_2008,category_return_2008,fund_return_2007,category_return_2007,fund_return_2006,category_return_2006,fund_return_2005,category_return_2005,fund_return_2004,category_return_2004,fund_return_2003,category_return_2003,fund_return_2002,category_return_2002,fund_return_2001,category_return_2001,fund_return_2000,category_return_2000,fund_alpha_3years,fund_beta_3years,fund_mean_annual_return_3years,fund_r_squared_3years,fund_stdev_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years,fund_alpha_5years,fund_beta_5years,fund_mean_annual_return_5years,fund_r_squared_5years,fund_stdev_5years,fund_sharpe_ratio_5years,fund_treynor_ratio_5years,fund_alpha_10years,fund_beta_10years,fund_mean_annual_return_10years,fund_r_squared_10years,fund_stdev_10years,fund_sharpe_ratio_10years,fund_treynor_ratio_10years
566,Alger Funds II - Alger Responsi,Trading--Leveraged Equity,0.6239,0.0,-0.68494,0.0,0.11247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.79,3.37,4.1,79.27,70.38,0.68,5.97,-6.29,3.36,4.14,77.02,57.51,0.84,9.98,-10.68,3.47,3.28,80.97,52.51,0.74,7.48
567,Focused Global Growth Fund Clas,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
568,The AB Portfolios - AB Growth F,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
569,The AB Portfolios - AB Growth F,Trading--Inverse Equity,-0.56517,0.0,0.38633,0.0,-0.07676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.7,-2.55,-6.14,74.62,55.04,-1.36,24.18,-25.84,-2.57,-5.55,72.48,45.44,-1.5,21.92,-17.65,-2.84,-4.79,77.53,43.93,-1.32,17.85
570,The AB Portfolios - AB Growth F,Large Growth,0.41318,0.0,-0.41574,0.0,0.09633,0.0,0.0998,0.0,0.02725,0.0,0.0698,0.0,0.30929,0.0,-0.27831,0.0,-0.19168,0.0,-0.3694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571,Invesco Global Growth Fund Clas,Large Value,0.25157,0.0,-0.35846,0.0,0.01809,0.0,0.20182,0.0,0.05311,0.0,0.14458,0.0,0.30804,0.0,-0.17206,0.0,-0.0626,0.0,0.06973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
572,Invesco Global Growth Fund Clas,Large Growth,0.41318,0.0,-0.41574,0.0,0.09633,0.0,0.0998,0.0,0.02725,0.0,0.0698,0.0,0.30929,0.0,-0.27831,0.0,-0.19168,0.0,-0.3694,3.11,2.13,3.51,93.6,40.88,1.0,17.99,4.28,2.12,3.34,92.65,33.12,1.18,18.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
573,Focused Global Growth Fund Clas,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.98,0.52,74.62,3.91,1.31,5.27,1.27,0.97,0.35,79.33,3.49,0.89,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574,Invesco Global Growth Fund Cl R,Latin America Stock,0.9248,0.0,-0.46513,0.0,0.45863,0.0,0.43048,0.0,0.51357,0.0,0.40493,0.0,0.70462,0.0,-0.23262,0.0,-0.03014,0.0,-0.22771,8.32,1.44,1.92,43.08,38.9,0.56,9.94,1.5,1.46,1.49,39.06,34.19,0.49,7.57,-4.79,1.51,0.39,47.47,33.13,0.12,-1.12
575,Focused Global Growth Fund Clas,China Region,0.67665,0.0,-0.50899,0.0,0.42833,0.0,0.46139,0.0,0.05902,0.0,0.16256,0.0,0.3835,0.0,-0.22312,0.0,-0.06992,0.0,-0.14001,-0.71,0.89,0.73,57.28,20.65,0.36,6.36,4.55,0.96,1.31,51.84,19.42,0.75,14.22,-0.36,1.19,0.6,55.9,24.11,0.28,3.16
576,American Century Global Gold Fu,Muni California Long,0.12697,0.0,-0.0512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86,1.41,0.48,90.8,5.9,0.77,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577,Focused Global Growth Fund Clas,World Allocation,0.21041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.72,1.72,1.08,94.47,20.17,0.58,5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578,American Century Global Gold Fu,Equity Energy,0.42393,-0.46521,-0.48179,0.0,0.36452,0.0,0.15555,0.0,0.35584,0.0,0.31,0.0,0.27271,0.0,-0.11922,0.0,-0.15112,0.0,0.24356,-30.27,2.96,1.05,56.9,70.73,0.16,-3.3,-30.43,2.75,0.68,50.75,56.13,0.12,-2.43,-29.26,2.24,-0.55,44.11,47.26,-0.15,-7.3
579,Invesco Global Growth Fund Clas,Communications,0.29109,0.0,-0.39551,0.0,0.0958,0.0,0.29386,0.0,-0.02256,0.0,0.18404,0.0,0.19146,0.0,-0.33141,0.0,-0.18659,0.0,0.0,9.63,1.0,2.07,82.71,19.74,1.2,24.36,0.77,0.98,1.27,68.34,17.25,0.82,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,The AB Portfolios - AB Tax-Mana,Corporate Bond,0.13673,0.0,-0.01529,0.0,0.0373,0.0,0.0396,0.0,0.01,0.0,0.05913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.59,0.68,50.04,7.68,0.91,4.36,1.34,1.46,0.44,54.27,6.35,0.65,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
581,The AB Portfolios - AB Tax-Mana,Large Blend,0.32264,0.0,-0.38047,0.0,0.04402,0.0,0.15549,0.0,0.04685,0.0,0.12554,0.0,0.29092,0.0,-0.17842,0.0,-0.05751,0.0,-0.05243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
582,Alger Funds II - Alger Responsi,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
583,Alger Mid Cap Growth Institutio,Convertibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,1.43,1.85,80.48,18.13,1.15,14.99,4.07,1.39,1.49,78.27,14.42,1.16,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
584,Invesco U.S. Government Fund In,Europe Stock,0.45163,-0.61263,-0.5025,0.0,0.12364,0.0,0.3424,0.0,0.09267,0.0,0.25554,0.0,0.43609,0.0,-0.15115,0.0,-0.19222,0.0,-0.09983,-2.9,1.27,0.85,82.3,24.7,0.36,4.85,-3.56,1.22,0.86,79.25,19.99,0.46,6.18,-0.68,1.02,0.49,77.66,17.48,0.3,3.77
585,The AB Portfolios - AB Tax-Mana,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
586,Alger Growth & Income Fd Cl Z,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
587,Focused Global Growth Fund Clas,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
588,Ariel Global Equity Fd Inv Cl,Large Growth,0.41318,0.0,-0.41574,0.0,0.09633,0.0,0.0998,0.0,0.02725,0.0,0.0698,0.0,0.30929,0.0,-0.27831,0.0,-0.19168,0.0,-0.3694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589,Ariel Global Equity Fd Instl Cl,High Yield Bond,0.41327,0.0,-0.29406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07427,0.0,0.0,0.0,0.0,0.0,0.0,5.51,0.73,0.81,8.42,8.56,0.99,11.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590,American Century Ginnie Mae Fun,Consumer Cyclical,0.4642,0.0,-0.39004,0.0,-0.10166,0.0,0.17716,0.0,-0.04359,0.0,0.11649,0.0,0.35013,0.0,-0.21731,0.0,0.06849,0.0,-0.16587,6.16,1.29,2.12,87.89,24.64,0.98,18.49,4.42,1.26,1.9,84.72,19.94,1.08,17.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,American Century Ginnie Mae Fun,Allocation--30% to 50% Equity,0.08868,0.0,-0.0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76,0.95,0.51,81.24,12.04,0.4,4.46,-4.77,0.93,0.41,80.17,9.55,0.39,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,American Century Ginnie Mae Fun,Large Blend,0.32264,0.0,-0.38047,0.0,0.04402,0.0,0.15549,0.0,0.04685,0.0,0.12554,0.0,0.29092,0.0,-0.17842,0.0,-0.05751,0.0,-0.05243,0.46,0.86,1.42,94.84,16.46,0.96,18.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
593,PGIM Jennison Global Equity Inc,Large Growth,0.41318,0.0,-0.41574,0.0,0.09633,0.0,0.0998,0.0,0.02725,0.0,0.0698,0.0,0.30929,0.0,-0.27831,0.0,-0.19168,0.0,-0.3694,-2.1,0.95,1.33,91.23,18.44,0.8,14.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594,Invesco U.S. Government Fund Cl,Foreign Large Growth,0.2908,0.0,-0.42427,0.0,0.31193,0.0,0.21884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,Focused Global Growth Fund Clas,Large Value,0.25157,0.0,-0.35846,0.0,0.01809,0.0,0.20182,0.0,0.05311,0.0,0.14458,0.0,0.30804,0.0,-0.17206,0.0,-0.0626,0.0,0.06973,-2.76,0.99,1.34,95.2,18.85,0.78,14.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
596,Invesco U.S. Government Fund Cl,Foreign Large Blend,0.38882,0.0,-0.44749,0.0,0.29141,0.0,0.19521,0.0,0.19425,0.0,0.19488,0.0,0.44137,0.0,-0.14519,0.0,-0.19887,0.0,0.03012,-5.82,1.16,0.52,95.3,20.87,0.24,2.44,-2.8,1.14,0.85,93.58,17.15,0.53,7.0,-1.02,1.04,0.48,91.51,16.48,0.31,3.63
597,Alger Small Cap Focus Fund Clas,Foreign Small/Mid Value,0.40172,0.0,-0.45822,0.0,0.12904,0.0,0.13599,0.0,0.24396,0.0,0.31164,0.0,0.5629,0.0,-0.10617,0.0,0.0,0.0,0.0,-3.68,1.26,0.77,91.22,23.2,0.34,4.4,-2.32,1.24,0.98,89.98,19.04,0.56,7.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
598,AGF Global Sustainable Growth E,Large Value,0.25157,0.0,-0.35846,0.0,0.01809,0.0,0.20182,0.0,0.05311,0.0,0.14458,0.0,0.30804,0.0,-0.17206,0.0,-0.0626,0.0,0.06973,-5.52,1.07,1.22,89.63,20.91,0.64,11.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,AGF Global Sustainable Growth E,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,AGF Emerging Markets Equity Fun,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601,AGF Emerging Markets Equity Fun,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,The AB Portfolios - AB Growth F,Diversified Emerging Mkts,0.70114,0.0,-0.492,0.0,0.40484,0.0,0.29363,0.0,0.33696,0.0,0.28617,0.0,0.50479,0.0,0.0,0.0,0.0,0.0,0.0,-4.02,1.2,0.7,88.1,22.64,0.32,3.93,-1.3,1.21,1.04,82.6,19.41,0.58,8.23,-2.94,1.22,0.4,80.46,20.49,0.2,1.72
603,American Century Growth Fd R6 C,Emerging-Markets Local-Currency Bond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,0.78,0.3,4.72,12.28,0.2,2.18,-0.74,0.99,0.19,8.19,11.04,0.1,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,Invesco Global Real Estate Clas,Diversified Emerging Mkts,0.70114,0.0,-0.492,0.0,0.40484,0.0,0.29363,0.0,0.33696,0.0,0.28617,0.0,0.50479,0.0,0.0,0.0,0.0,0.0,0.0,0.11,1.39,1.19,87.73,26.18,0.5,7.25,0.09,1.38,1.3,80.32,22.43,0.64,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,The AB Portfolios - AB Growth F,Equity Energy,0.42393,0.0,-0.48179,0.0,0.36452,0.0,0.15555,0.0,0.35584,0.0,0.31,0.0,0.27271,0.0,-0.11922,0.0,-0.15112,0.0,0.24356,-27.7,2.02,0.15,73.5,42.31,0.02,-4.03,-22.25,1.89,0.38,63.98,34.33,0.1,-1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,The AB Portfolios - AB Growth F,Europe Stock,0.45163,0.0,-0.5025,0.0,0.12364,0.0,0.3424,0.0,0.09267,0.0,0.25554,0.0,0.43609,0.0,-0.15115,0.0,-0.19222,0.0,-0.09983,-4.6,1.3,0.73,93.79,23.7,0.32,3.71,-1.42,1.28,1.09,92.26,19.44,0.61,8.3,0.18,1.19,0.65,88.43,19.11,0.37,4.57
607,Alger Small Cap Growth Fund Cla,Europe Stock,0.45163,0.0,-0.5025,0.0,0.12364,0.0,0.3424,0.0,0.09267,0.0,0.25554,0.0,0.43609,0.0,-0.15115,0.0,-0.19222,0.0,-0.09983,-7.25,2.11,1.13,90.46,39.13,0.32,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608,AllianzGI Global Dynamic Alloca,Europe Stock,0.45163,0.0,-0.5025,0.0,0.12364,0.0,0.3424,0.0,0.09267,0.0,0.25554,0.0,0.43609,0.0,-0.15115,0.0,-0.19222,0.0,-0.09983,-5.22,1.27,0.65,93.56,23.09,0.28,3.17,-1.73,1.28,1.07,91.97,19.44,0.6,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
609,The Growth Fund of America Clas,Large Growth,0.41318,0.0,-0.41574,0.0,0.09633,0.0,0.0998,0.0,0.02725,0.0,0.0698,0.0,0.30929,0.0,-0.27831,0.0,-0.19168,0.0,-0.3694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,AB Sustainable Global Thematic ,Large Blend,0.32264,-0.38317,-0.38047,0.0,0.04402,0.0,0.15549,0.0,0.04685,0.0,0.12554,0.0,0.29092,0.0,-0.17842,0.0,-0.05751,0.0,-0.05243,-5.44,1.15,1.34,95.42,21.73,0.68,11.68,-3.86,1.13,1.31,94.95,17.4,0.84,12.43,-3.07,1.1,1.1,94.69,15.39,0.82,10.98
611,American Beacon Frontier Market,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612,Invesco U.S. Government Fund Cl,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.58,0.78,0.96,69.25,17.43,0.58,11.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
613,American Funds Global Insight F,Intermediate-Term Bond,0.08281,0.0,0.04235,0.0,0.06573,0.0,0.04126,0.0,0.02161,0.0,0.03989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.91,0.49,55.01,4.18,1.1,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,American Funds Global Insight F,Global Real Estate,0.43403,-0.47441,-0.52561,0.0,-0.06901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.79,0.92,0.7,72.34,19.55,0.37,5.82,-7.09,0.91,0.53,66.77,16.16,0.32,4.42,-1.75,0.88,0.63,63.27,15.56,0.44,6.66
615,American Funds Global Insight F,Large Blend,0.32264,0.0,-0.38047,0.0,0.04402,0.0,0.15549,0.0,0.04685,0.0,0.12554,0.0,0.29092,0.0,-0.17842,0.0,-0.05751,0.0,-0.05243,-5.17,1.03,1.18,94.68,19.53,0.66,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616,American Funds Global Insight F,Tactical Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.74,1.15,0.76,74.82,15.16,0.52,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
617,American Funds Global Insight F,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.32,1.02,0.24,26.15,6.89,0.23,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618,Invesco U.S. Government Fund Cl,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.72,1.06,0.89,68.18,23.74,0.39,6.42,-0.93,1.06,1.42,62.88,19.99,0.79,14.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619,Invesco U.S. Government Fund Cl,Foreign Large Value,0.42878,-0.50603,-0.44817,0.0,0.20511,0.0,0.22367,0.0,0.27837,0.0,0.22446,0.0,0.53344,0.0,-0.13197,0.0,-0.1785,0.0,0.07676,-2.63,1.25,0.86,87.45,23.64,0.38,5.11,-3.62,1.2,0.84,85.6,18.91,0.47,6.15,0.46,0.99,0.57,83.39,16.41,0.38,5.06
620,Invesco U.S. Government Fund Cl,Miscellaneous Region,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.72,1.29,0.96,88.51,24.17,0.42,6.01,-0.98,1.3,1.15,87.56,20.36,0.62,8.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
621,American Century Growth R Share,Large Growth,0.41318,0.0,-0.41574,0.0,0.09633,0.0,0.0998,0.0,0.02725,0.0,0.0698,0.0,0.30929,0.0,-0.27831,0.0,-0.19168,0.0,-0.3694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622,American Century Growth Fund - ,Health,0.2568,0.0,-0.24887,0.0,0.09566,0.0,0.06282,0.0,0.06572,0.0,0.03509,0.0,0.27339,0.0,-0.28174,0.0,-0.13345,0.0,0.0,5.74,0.76,1.47,68.02,16.53,0.99,21.54,3.4,0.8,1.28,62.98,14.56,0.97,17.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
623,American Century Global Gold Fu,Foreign Large Growth,0.2908,0.0,-0.42427,0.0,0.31193,0.0,0.21884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
624,Focused Global Growth Fund Clas,Foreign Large Value,0.42878,0.0,-0.44817,0.0,0.20511,0.0,0.22367,0.0,0.27837,0.0,0.22446,0.0,0.53344,0.0,-0.13197,0.0,-0.1785,0.0,0.07676,-3.69,1.06,0.62,88.77,19.85,0.31,4.05,-4.79,1.02,0.59,87.03,16.04,0.37,4.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,American Century Growth Fund - ,Foreign Large Value,0.42878,0.0,-0.44817,0.0,0.20511,0.0,0.22367,0.0,0.27837,0.0,0.22446,0.0,0.53344,0.0,-0.13197,0.0,-0.1785,0.0,0.07676,-7.62,1.12,0.34,87.62,21.2,0.13,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
626,American Beacon AHL TargetRisk ,Industrials,0.29262,0.0,-0.32136,0.0,0.153,0.0,0.13528,0.0,0.05828,0.0,0.20569,0.0,0.32411,0.0,-0.24845,0.0,-0.10337,0.0,0.06938,-1.57,1.26,1.44,89.76,23.89,0.67,11.32,-1.63,1.22,1.35,83.28,19.5,0.77,11.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627,American Century High Yield - ,Intermediate-Term Bond,0.08281,0.0,0.04235,0.0,0.06573,0.0,0.04126,0.0,0.02161,0.0,0.03989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
628,American Century Heritage - C C,Technology,0.76085,0.0,-0.4716,0.0,0.08189,0.0,0.09552,0.0,0.01256,0.0,0.06733,0.0,0.65015,0.0,-0.44541,0.0,-0.32203,0.0,-0.42203,4.43,1.33,2.02,73.54,27.84,0.83,16.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629,NT High Income Fund - G Class,Multisector Bond,0.04504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
630,NT High Income Fund - Investor ,Technology,0.76085,0.0,-0.4716,0.0,0.08189,0.0,0.09552,0.0,0.01256,0.0,0.06733,0.0,0.65015,0.0,-0.44541,0.0,-0.32203,0.0,-0.42203,2.16,1.12,1.59,81.65,22.28,0.8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
631,Invesco High Yield Fund Class Y,Foreign Large Value,0.42878,0.0,-0.44817,0.0,0.20511,0.0,0.22367,0.0,0.27837,0.0,0.22446,0.0,0.53344,0.0,-0.13197,0.0,-0.1785,0.0,0.07676,-4.16,1.12,0.62,93.69,20.37,0.31,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
632,High Income Fund - A Class,Communications,0.29109,0.0,-0.39551,0.0,0.0958,0.0,0.29386,0.0,-0.02256,0.0,0.18404,0.0,0.19146,0.0,-0.33141,0.0,-0.18659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633,"American Fds, American High-In",Natural Resources,0.60487,-0.29377,-0.46215,0.0,0.32767,0.0,0.14892,0.0,0.35228,0.0,0.31397,0.0,0.33469,0.0,-0.07207,0.0,-0.15082,0.0,0.24303,5.91,0.99,1.75,86.95,19.0,1.04,20.02,5.33,0.95,1.62,74.62,15.95,1.14,19.57,4.78,0.98,1.25,71.86,16.19,0.89,14.33
634,High Income Fund - R6 Class,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,1.02,0.51,97.05,3.59,1.4,4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
635,High Income Fund - R5 Class,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
